fmun;ano;mes;regiao;roubo_veiculo;furto_veiculos;trafico_drogas;recuperacao_veiculos
Carapebus;2014;2;Interior;0;0;0;0
Comendador Levy Gasparian;2014;2;Interior;0;0;0;0
Campos dos Goytacazes;2014;2;Interior;22;49;39;42
Cantagalo;2014;2;Interior;1;0;2;1
Cardoso Moreira;2014;2;Interior;0;0;3;0
Carmo;2014;2;Interior;0;0;1;0
Casimiro de Abreu;2014;2;Interior;3;2;1;3
Conceição de Macabu;2014;2;Interior;1;0;1;0
Cordeiro;2014;2;Interior;0;3;0;4
Duas Barras;2014;2;Interior;0;2;0;1
Duque de Caxias;2014;2;Baixada Fluminense;321;88;58;181
Engenheiro Paulo de Frontin;2014;2;Interior;0;0;0;0
Guapimirim;2014;2;Baixada Fluminense;6;0;3;1
Iguaba Grande;2014;2;Interior;1;2;1;3
Itaboraí;2014;2;Interior;24;24;22;38
Itaguaí;2014;2;Baixada Fluminense;18;21;12;22
Italva;2014;2;Interior;0;0;0;0
Itaocara;2014;2;Interior;2;1;2;0
Itaperuna;2014;2;Interior;0;5;11;5
Itatiaia;2014;2;Interior;0;2;1;0
Japeri;2014;2;Baixada Fluminense;3;2;7;11
Laje do Muriaé;2014;2;Interior;0;0;1;0
Macaé;2014;2;Interior;53;22;23;31
Macuco;2014;2;Interior;0;0;0;0
Magé;2014;2;Baixada Fluminense;19;17;7;21
Mangaratiba;2014;2;Interior;4;14;4;7
Maricá;2014;2;Grande Niterói;30;13;7;16
Mendes;2014;2;Interior;0;0;0;0
Mesquita;2014;2;Baixada Fluminense;40;20;19;37
Miguel Pereira;2014;2;Interior;1;1;2;0
Miracema;2014;2;Interior;0;0;6;0
Natividade;2014;2;Interior;0;0;2;1
Nilópolis;2014;2;Baixada Fluminense;75;14;8;37
Niterói;2014;2;Grande Niterói;122;110;50;112
Nova Friburgo;2014;2;Interior;2;8;24;7
Nova Iguaçu;2014;2;Baixada Fluminense;258;47;40;75
Paracambi;2014;2;Baixada Fluminense;1;5;9;2
Paraíba do Sul;2014;2;Interior;0;2;6;3
Paraty;2014;2;Interior;0;0;0;1
Paty do Alferes;2014;2;Interior;0;0;0;0
Petrópolis;2014;2;Interior;1;16;29;10
Pinheiral;2014;2;Interior;0;4;1;1
Piraí;2014;2;Interior;0;1;2;1
Porciúncula;2014;2;Interior;0;1;0;1
Porto Real;2014;2;Interior;1;1;4;4
Quatis;2014;2;Interior;0;0;0;0
Queimados;2014;2;Baixada Fluminense;7;8;9;13
Quissamã;2014;2;Interior;2;2;1;5
Resende;2014;2;Interior;0;6;12;3
Rio Bonito;2014;2;Interior;7;6;8;4
Rio Claro;2014;2;Interior;0;0;0;1
Rio das Flores;2014;2;Interior;0;0;0;0
Rio das Ostras;2014;2;Interior;19;24;2;13
Rio de Janeiro;2014;2;Capital;1235;661;292;884
Santa Maria Madalena;2014;2;Interior;1;0;0;1
Santo Antônio de Pádua;2014;2;Interior;1;3;13;1
São Francisco de Itabapoana;2014;2;Interior;1;2;0;0
São Fidélis;2014;2;Interior;1;4;1;1
São Gonçalo;2014;2;Grande Niterói;405;85;63;272
São João da Barra;2014;2;Interior;1;7;7;3
São João de Meriti;2014;2;Baixada Fluminense;192;31;5;124
São José de Ubá;2014;2;Interior;0;0;0;0
São José do Vale do Rio Preto;2014;2;Interior;0;0;1;0
São Pedro da Aldeia;2014;2;Interior;4;8;6;7
São Sebastião do Alto;2014;2;Interior;0;0;0;0
Sapucaia;2014;2;Interior;0;0;0;0
Saquarema;2014;2;Interior;3;8;5;5
Seropédica;2014;2;Baixada Fluminense;7;3;8;6
Silva Jardim;2014;2;Interior;2;2;0;3
Sumidouro;2014;2;Interior;1;0;0;0
Tanguá;2014;2;Interior;3;2;2;2
Teresópolis;2014;2;Interior;1;10;21;4
Trajano de Moraes;2014;2;Interior;0;0;0;0
Três Rios;2014;2;Interior;1;6;14;8
Valença;2014;2;Interior;1;1;8;1
Varre-Sai;2014;2;Interior;0;0;0;0
Vassouras;2014;2;Interior;0;0;1;2
Volta Redonda;2014;2;Interior;2;19;16;12
Angra dos Reis;2014;3;Interior;3;20;26;6
Aperibé;2014;3;Interior;0;0;0;0
Araruama;2014;3;Interior;8;8;6;7
Areal;2014;3;Interior;0;0;0;0
Armação dos Búzios;2014;3;Interior;1;2;10;1
Arraial do Cabo;2014;3;Interior;0;1;2;3
Barra do Piraí;2014;3;Interior;0;3;5;4
Barra Mansa;2014;3;Interior;1;13;16;9
Belford Roxo;2014;3;Baixada Fluminense;86;26;15;64
Bom Jardim;2014;3;Interior;0;1;3;1
Bom Jesus do Itabapoana;2014;3;Interior;0;1;1;0
Cabo Frio;2014;3;Interior;15;34;25;23
Cachoeiras de Macacu;2014;3;Interior;1;5;1;1
Cambuci;2014;3;Interior;0;0;0;1
Carapebus;2014;3;Interior;0;0;0;0
Comendador Levy Gasparian;2014;3;Interior;0;0;0;0
Campos dos Goytacazes;2014;3;Interior;33;63;52;53
Cantagalo;2014;3;Interior;1;1;0;1
Cardoso Moreira;2014;3;Interior;0;0;2;0
Carmo;2014;3;Interior;1;1;3;1
Casimiro de Abreu;2014;3;Interior;6;3;5;2
Conceição de Macabu;2014;3;Interior;0;2;0;0
Cordeiro;2014;3;Interior;0;2;0;1
Duas Barras;2014;3;Interior;0;0;0;0
Duque de Caxias;2014;3;Baixada Fluminense;305;97;52;171
Engenheiro Paulo de Frontin;2014;3;Interior;0;0;1;0
Guapimirim;2014;3;Baixada Fluminense;7;2;2;2
Iguaba Grande;2014;3;Interior;1;4;0;1
Itaboraí;2014;3;Interior;30;21;19;25
Itaguaí;2014;3;Baixada Fluminense;22;18;8;25
Italva;2014;3;Interior;0;0;0;0
Itaocara;2014;3;Interior;1;1;0;1
Itaperuna;2014;3;Interior;0;2;7;2
Itatiaia;2014;3;Interior;0;0;9;0
Japeri;2014;3;Baixada Fluminense;3;3;6;11
Laje do Muriaé;2014;3;Interior;0;0;0;0
Macaé;2014;3;Interior;25;21;15;15
Macuco;2014;3;Interior;0;0;0;0
Magé;2014;3;Baixada Fluminense;23;22;13;24
Mangaratiba;2014;3;Interior;3;15;2;5
Maricá;2014;3;Grande Niterói;23;21;1;17
Mendes;2014;3;Interior;0;1;5;1
Mesquita;2014;3;Baixada Fluminense;57;13;11;29
Miguel Pereira;2014;3;Interior;1;2;2;1
Miracema;2014;3;Interior;0;0;7;0
Natividade;2014;3;Interior;0;0;0;0
Nilópolis;2014;3;Baixada Fluminense;70;20;5;33
Niterói;2014;3;Grande Niterói;126;90;33;85
Nova Friburgo;2014;3;Interior;3;12;20;14
Nova Iguaçu;2014;3;Baixada Fluminense;244;70;31;99
Paracambi;2014;3;Baixada Fluminense;2;1;7;1
Paraíba do Sul;2014;3;Interior;0;3;0;1
Paraty;2014;3;Interior;1;4;2;4
Paty do Alferes;2014;3;Interior;0;0;0;0
Petrópolis;2014;3;Interior;1;17;24;10
Pinheiral;2014;3;Interior;1;1;0;1
Piraí;2014;3;Interior;0;0;5;0
