fmun;ano;mes;regiao;roubo_veiculo;furto_veiculos;trafico_drogas;recuperacao_veiculos
Miracema;2017;1;Interior;1;1;7;0
Natividade;2017;1;Interior;0;1;0;0
Nilópolis;2017;1;Baixada Fluminense;142;19;3;31
Niterói;2017;1;Grande Niterói;122;69;40;97
Nova Friburgo;2017;1;Interior;0;6;15;5
Nova Iguaçu;2017;1;Baixada Fluminense;294;51;47;131
Paracambi;2017;1;Baixada Fluminense;2;0;3;1
Paraíba do Sul;2017;1;Interior;0;0;4;1
Paraty;2017;1;Interior;0;2;4;0
Paty do Alferes;2017;1;Interior;0;0;0;0
Petrópolis;2017;1;Interior;4;9;26;7
Pinheiral;2017;1;Interior;0;0;0;1
Piraí;2017;1;Interior;2;0;5;0
Porciúncula;2017;1;Interior;0;0;0;0
Porto Real;2017;1;Interior;0;1;7;1
Quatis;2017;1;Interior;0;0;0;0
Queimados;2017;1;Baixada Fluminense;31;13;5;16
Quissamã;2017;1;Interior;5;1;4;0
Resende;2017;1;Interior;1;8;14;6
Rio Bonito;2017;1;Interior;4;7;9;5
Rio Claro;2017;1;Interior;1;0;0;0
Rio das Flores;2017;1;Interior;0;1;0;0
Rio das Ostras;2017;1;Interior;19;27;16;9
Rio de Janeiro;2017;1;Capital;1977;553;218;1581
Santa Maria Madalena;2017;1;Interior;1;0;0;0
Santo Antônio de Pádua;2017;1;Interior;0;4;7;3
São Francisco de Itabapoana;2017;1;Interior;1;13;2;5
São Fidélis;2017;1;Interior;0;4;2;0
São Gonçalo;2017;1;Grande Niterói;385;88;81;266
São João da Barra;2017;1;Interior;3;14;2;2
São João de Meriti;2017;1;Baixada Fluminense;296;41;29;147
São José de Ubá;2017;1;Interior;0;0;0;0
São José do Vale do Rio Preto;2017;1;Interior;0;0;0;0
São Pedro da Aldeia;2017;1;Interior;1;8;10;4
São Sebastião do Alto;2017;1;Interior;1;0;0;1
Sapucaia;2017;1;Interior;2;2;4;0
Saquarema;2017;1;Interior;4;7;7;6
Seropédica;2017;1;Baixada Fluminense;11;5;2;24
Silva Jardim;2017;1;Interior;1;0;0;0
Sumidouro;2017;1;Interior;0;0;0;1
Tanguá;2017;1;Interior;9;2;2;2
Teresópolis;2017;1;Interior;2;5;21;2
Trajano de Moraes;2017;1;Interior;0;0;0;0
Três Rios;2017;1;Interior;0;5;15;4
Valença;2017;1;Interior;1;3;3;3
Varre-Sai;2017;1;Interior;0;0;0;0
Vassouras;2017;1;Interior;0;0;0;0
Volta Redonda;2017;1;Interior;6;33;26;15
Angra dos Reis;2017;2;Interior;10;7;18;7
Aperibé;2017;2;Interior;0;0;0;0
Araruama;2017;2;Interior;9;10;7;7
Areal;2017;2;Interior;0;0;0;0
Armação dos Búzios;2017;2;Interior;4;3;7;4
Arraial do Cabo;2017;2;Interior;0;1;5;1
Barra do Piraí;2017;2;Interior;1;3;14;1
Barra Mansa;2017;2;Interior;2;6;11;5
Belford Roxo;2017;2;Baixada Fluminense;175;33;22;108
Bom Jardim;2017;2;Interior;0;1;0;0
Bom Jesus do Itabapoana;2017;2;Interior;0;0;7;0
Cabo Frio;2017;2;Interior;10;19;22;8
Cachoeiras de Macacu;2017;2;Interior;1;3;5;1
Cambuci;2017;2;Interior;1;0;0;0
Carapebus;2017;2;Interior;0;0;0;0
Comendador Levy Gasparian;2017;2;Interior;0;0;0;0
Campos dos Goytacazes;2017;2;Interior;20;29;27;19
Cantagalo;2017;2;Interior;2;1;2;1
Cardoso Moreira;2017;2;Interior;0;2;3;1
Carmo;2017;2;Interior;0;0;1;1
Casimiro de Abreu;2017;2;Interior;4;3;2;3
Conceição de Macabu;2017;2;Interior;0;1;2;1
Cordeiro;2017;2;Interior;0;0;4;0
Duas Barras;2017;2;Interior;0;0;0;0
Duque de Caxias;2017;2;Baixada Fluminense;333;88;31;229
Engenheiro Paulo de Frontin;2017;2;Interior;0;1;0;2
Guapimirim;2017;2;Baixada Fluminense;10;2;5;2
Iguaba Grande;2017;2;Interior;0;1;1;0
Itaboraí;2017;2;Interior;76;12;18;39
Itaguaí;2017;2;Baixada Fluminense;51;4;8;26
Italva;2017;2;Interior;0;0;0;0
Itaocara;2017;2;Interior;0;1;1;0
Itaperuna;2017;2;Interior;0;4;13;3
Itatiaia;2017;2;Interior;0;0;7;1
Japeri;2017;2;Baixada Fluminense;21;1;6;16
Laje do Muriaé;2017;2;Interior;0;0;2;1
Macaé;2017;2;Interior;17;9;18;11
Macuco;2017;2;Interior;0;0;0;0
Magé;2017;2;Baixada Fluminense;23;19;12;14
Mangaratiba;2017;2;Interior;7;13;1;1
Maricá;2017;2;Grande Niterói;25;34;5;13
Mendes;2017;2;Interior;0;1;3;0
Mesquita;2017;2;Baixada Fluminense;74;14;12;48
Miguel Pereira;2017;2;Interior;0;7;2;6
Miracema;2017;2;Interior;0;1;6;0
Natividade;2017;2;Interior;0;1;1;0
Nilópolis;2017;2;Baixada Fluminense;105;7;4;32
Niterói;2017;2;Grande Niterói;162;87;30;56
Nova Friburgo;2017;2;Interior;0;1;25;0
Nova Iguaçu;2017;2;Baixada Fluminense;299;64;34;68
Paracambi;2017;2;Baixada Fluminense;2;1;2;0
Paraíba do Sul;2017;2;Interior;0;0;6;1
Paraty;2017;2;Interior;0;2;8;2
Paty do Alferes;2017;2;Interior;0;0;0;0
Petrópolis;2017;2;Interior;0;10;45;7
Pinheiral;2017;2;Interior;0;0;0;0
Piraí;2017;2;Interior;2;0;5;3
Porciúncula;2017;2;Interior;0;2;3;0
Porto Real;2017;2;Interior;1;0;0;1
Quatis;2017;2;Interior;0;0;0;0
Queimados;2017;2;Baixada Fluminense;24;5;5;14
Quissamã;2017;2;Interior;4;1;0;3
Resende;2017;2;Interior;0;3;21;0
Rio Bonito;2017;2;Interior;5;5;8;6
Rio Claro;2017;2;Interior;0;0;1;0
Rio das Flores;2017;2;Interior;0;0;0;0
Rio das Ostras;2017;2;Interior;13;17;17;7
Rio de Janeiro;2017;2;Capital;2022;535;141;1143
Santa Maria Madalena;2017;2;Interior;0;0;0;0
Santo Antônio de Pádua;2017;2;Interior;1;6;6;2
São Francisco de Itabapoana;2017;2;Interior;1;5;1;2
São Fidélis;2017;2;Interior;0;0;0;1
São Gonçalo;2017;2;Grande Niterói;463;100;49;232
São João da Barra;2017;2;Interior;0;13;1;4
São João de Meriti;2017;2;Baixada Fluminense;273;58;16;99
São José de Ubá;2017;2;Interior;0;0;0;0
São José do Vale do Rio Preto;2017;2;Interior;0;1;1;1
São Pedro da Aldeia;2017;2;Interior;2;5;1;4
São Sebastião do Alto;2017;2;Interior;0;0;0;0
Sapucaia;2017;2;Interior;1;1;1;1
Saquarema;2017;2;Interior;6;11;7;3
Seropédica;2017;2;Baixada Fluminense;11;2;1;15
Silva Jardim;2017;2;Interior;2;4;4;5
Sumidouro;2017;2;Interior;0;1;0;0
Tanguá;2017;2;Interior;7;0;6;4
Teresópolis;2017;2;Interior;1;10;9;4
Trajano de Moraes;2017;2;Interior;0;0;0;0
Três Rios;2017;2;Interior;0;2;4;1
Valença;2017;2;Interior;0;2;6;0
Varre-Sai;2017;2;Interior;0;0;0;0
Vassouras;2017;2;Interior;1;0;2;0
Volta Redonda;2017;2;Interior;2;14;27;6
Angra dos Reis;2017;3;Interior;18;9;19;13
Aperibé;2017;3;Interior;0;0;0;0
Araruama;2017;3;Interior;11;8;10;15
Areal;2017;3;Interior;0;0;0;0
Armação dos Búzios;2017;3;Interior;1;3;6;6
Arraial do Cabo;2017;3;Interior;0;3;3;2
Barra do Piraí;2017;3;Interior;1;0;13;2
Barra Mansa;2017;3;Interior;10;5;21;17
Belford Roxo;2017;3;Baixada Fluminense;175;48;25;89
Bom Jardim;2017;3;Interior;0;3;3;1
Bom Jesus do Itabapoana;2017;3;Interior;0;0;6;0
Cabo Frio;2017;3;Interior;14;19;35;13
Cachoeiras de Macacu;2017;3;Interior;0;6;9;1
Cambuci;2017;3;Interior;0;0;0;1
Carapebus;2017;3;Interior;0;0;0;0
Comendador Levy Gasparian;2017;3;Interior;0;0;0;0
Campos dos Goytacazes;2017;3;Interior;21;37;38;48
Cantagalo;2017;3;Interior;1;0;4;0
Cardoso Moreira;2017;3;Interior;0;0;5;0
Carmo;2017;3;Interior;1;0;0;0
Casimiro de Abreu;2017;3;Interior;3;3;1;3
Conceição de Macabu;2017;3;Interior;2;0;1;0
Cordeiro;2017;3;Interior;0;2;0;0
Duas Barras;2017;3;Interior;0;0;2;0
Duque de Caxias;2017;3;Baixada Fluminense;339;79;46;230
Engenheiro Paulo de Frontin;2017;3;Interior;0;1;1;0
Guapimirim;2017;3;Baixada Fluminense;13;3;2;3
Iguaba Grande;2017;3;Interior;4;3;4;3
Itaboraí;2017;3;Interior;100;28;21;67
Itaguaí;2017;3;Baixada Fluminense;47;9;13;33
Italva;2017;3;Interior;0;0;0;0
Itaocara;2017;3;Interior;0;2;0;1
Itaperuna;2017;3;Interior;1;6;14;2
Itatiaia;2017;3;Interior;0;1;7;3
Japeri;2017;3;Baixada Fluminense;18;6;7;22
Laje do Muriaé;2017;3;Interior;0;0;0;0
Macaé;2017;3;Interior;18;12;34;15
Macuco;2017;3;Interior;0;0;0;0
Magé;2017;3;Baixada Fluminense;37;24;14;18
Mangaratiba;2017;3;Interior;14;6;6;3
Maricá;2017;3;Grande Niterói;20;28;6;17
Mendes;2017;3;Interior;1;2;1;0
Mesquita;2017;3;Baixada Fluminense;83;16;19;33
Miguel Pereira;2017;3;Interior;2;6;2;1
Miracema;2017;3;Interior;1;4;5;0
Natividade;2017;3;Interior;0;2;2;0
Nilópolis;2017;3;Baixada Fluminense;169;8;9;27
Niterói;2017;3;Grande Niterói;181;80;36;127
Nova Friburgo;2017;3;Interior;0;6;39;2
Nova Iguaçu;2017;3;Baixada Fluminense;340;85;49;86
Paracambi;2017;3;Baixada Fluminense;2;3;4;3
Paraíba do Sul;2017;3;Interior;1;0;8;3
Paraty;2017;3;Interior;1;0;7;1
Paty do Alferes;2017;3;Interior;0;0;0;0
Petrópolis;2017;3;Interior;5;20;30;10
Pinheiral;2017;3;Interior;0;0;1;1
Piraí;2017;3;Interior;3;0;6;0
Porciúncula;2017;3;Interior;0;1;1;0
Porto Real;2017;3;Interior;1;1;3;3
Quatis;2017;3;Interior;0;0;0;0
Queimados;2017;3;Baixada Fluminense;27;3;7;11
Quissamã;2017;3;Interior;0;0;3;3
Resende;2017;3;Interior;3;5;21;4
Rio Bonito;2017;3;Interior;5;12;10;8
Rio Claro;2017;3;Interior;1;1;2;3
Rio das Flores;2017;3;Interior;0;0;1;0
Rio das Ostras;2017;3;Interior;21;9;17;8
Rio de Janeiro;2017;3;Capital;2346;593;197;1490
Santa Maria Madalena;2017;3;Interior;0;0;0;1
Santo Antônio de Pádua;2017;3;Interior;0;1;1;2
São Francisco de Itabapoana;2017;3;Interior;3;5;2;5
São Fidélis;2017;3;Interior;0;2;3;0
São Gonçalo;2017;3;Grande Niterói;557;106;77;293
São João da Barra;2017;3;Interior;3;2;3;2
São João de Meriti;2017;3;Baixada Fluminense;317;47;39;128
São José de Ubá;2017;3;Interior;0;0;0;0
São José do Vale do Rio Preto;2017;3;Interior;0;0;0;1
São Pedro da Aldeia;2017;3;Interior;6;6;7;4
São Sebastião do Alto;2017;3;Interior;0;0;0;1
Sapucaia;2017;3;Interior;0;0;2;2
Saquarema;2017;3;Interior;13;13;6;8
Seropédica;2017;3;Baixada Fluminense;17;5;3;12
Silva Jardim;2017;3;Interior;3;0;4;1
Sumidouro;2017;3;Interior;0;1;2;1
Tanguá;2017;3;Interior;9;3;4;2
Teresópolis;2017;3;Interior;2;4;25;2
Trajano de Moraes;2017;3;Interior;0;0;0;0
Três Rios;2017;3;Interior;0;2;11;3
Valença;2017;3;Interior;0;2;7;0
Varre-Sai;2017;3;Interior;0;0;0;0
Vassouras;2017;3;Interior;1;2;4;1
Volta Redonda;2017;3;Interior;9;16;34;11
Angra dos Reis;2017;4;Interior;7;9;29;16
Aperibé;2017;4;Interior;0;0;0;0
Araruama;2017;4;Interior;5;4;17;5
Areal;2017;4;Interior;0;0;0;0
Armação dos Búzios;2017;4;Interior;1;2;5;3
Arraial do Cabo;2017;4;Interior;0;1;8;2
Barra do Piraí;2017;4;Interior;0;2;22;0
Barra Mansa;2017;4;Interior;1;13;14;13
Belford Roxo;2017;4;Baixada Fluminense;147;32;17;101
Bom Jardim;2017;4;Interior;0;1;2;1
Bom Jesus do Itabapoana;2017;4;Interior;0;0;3;0
Cabo Frio;2017;4;Interior;13;9;33;6
Cachoeiras de Macacu;2017;4;Interior;2;2;2;2
Cambuci;2017;4;Interior;0;0;1;0
Carapebus;2017;4;Interior;0;0;0;0
Comendador Levy Gasparian;2017;4;Interior;0;0;0;0
Campos dos Goytacazes;2017;4;Interior;18;36;48;35
Cantagalo;2017;4;Interior;1;0;0;0
Cardoso Moreira;2017;4;Interior;1;0;2;1
Carmo;2017;4;Interior;0;0;1;0
Casimiro de Abreu;2017;4;Interior;2;2;9;5
Conceição de Macabu;2017;4;Interior;1;0;3;1
Cordeiro;2017;4;Interior;0;2;4;1
Duas Barras;2017;4;Interior;0;1;0;1
Duque de Caxias;2017;4;Baixada Fluminense;389;72;45;282
Engenheiro Paulo de Frontin;2017;4;Interior;0;2;0;2
Guapimirim;2017;4;Baixada Fluminense;7;3;11;6
Iguaba Grande;2017;4;Interior;1;1;1;1
Itaboraí;2017;4;Interior;69;21;18;64
Itaguaí;2017;4;Baixada Fluminense;70;11;15;44
Italva;2017;4;Interior;0;0;0;0
Itaocara;2017;4;Interior;0;0;1;1
Itaperuna;2017;4;Interior;0;6;12;3
Itatiaia;2017;4;Interior;1;1;10;2
Japeri;2017;4;Baixada Fluminense;18;6;6;13
Laje do Muriaé;2017;4;Interior;0;0;0;0
Macaé;2017;4;Interior;16;10;24;10
Macuco;2017;4;Interior;0;0;0;0
Magé;2017;4;Baixada Fluminense;32;18;12;27
Mangaratiba;2017;4;Interior;6;6;3;6
Maricá;2017;4;Grande Niterói;24;16;8;14
Mendes;2017;4;Interior;0;0;2;0
Mesquita;2017;4;Baixada Fluminense;82;12;26;64
Miguel Pereira;2017;4;Interior;0;4;2;5
Miracema;2017;4;Interior;0;0;3;0
Natividade;2017;4;Interior;0;1;0;1
Nilópolis;2017;4;Baixada Fluminense;195;17;9;19
Niterói;2017;4;Grande Niterói;209;83;39;131
Nova Friburgo;2017;4;Interior;1;8;31;7
Nova Iguaçu;2017;4;Baixada Fluminense;366;69;30;108
Paracambi;2017;4;Baixada Fluminense;4;1;0;3
Paraíba do Sul;2017;4;Interior;1;1;18;4
Paraty;2017;4;Interior;2;2;4;5
Paty do Alferes;2017;4;Interior;0;0;0;0
Petrópolis;2017;4;Interior;3;22;35;14
Pinheiral;2017;4;Interior;0;0;3;0
Piraí;2017;4;Interior;0;4;5;2
Porciúncula;2017;4;Interior;0;0;2;0
Porto Real;2017;4;Interior;1;1;3;0
Quatis;2017;4;Interior;0;0;0;0
Queimados;2017;4;Baixada Fluminense;25;16;11;13
Quissamã;2017;4;Interior;3;1;5;1
Resende;2017;4;Interior;1;5;27;6
Rio Bonito;2017;4;Interior;8;15;3;12
Rio Claro;2017;4;Interior;1;0;3;1
Rio das Flores;2017;4;Interior;0;0;0;0
Rio das Ostras;2017;4;Interior;5;7;11;9
Rio de Janeiro;2017;4;Capital;2290;533;164;1778
Santa Maria Madalena;2017;4;Interior;0;0;0;0
Santo Antônio de Pádua;2017;4;Interior;0;4;3;4
São Francisco de Itabapoana;2017;4;Interior;1;2;1;1
São Fidélis;2017;4;Interior;0;1;4;1
São Gonçalo;2017;4;Grande Niterói;546;95;58;379
São João da Barra;2017;4;Interior;3;4;3;7
São João de Meriti;2017;4;Baixada Fluminense;276;38;34;178
São José de Ubá;2017;4;Interior;0;0;0;0
São José do Vale do Rio Preto;2017;4;Interior;0;1;4;0
São Pedro da Aldeia;2017;4;Interior;7;5;9;9
São Sebastião do Alto;2017;4;Interior;0;1;1;0
Sapucaia;2017;4;Interior;0;1;3;0
Saquarema;2017;4;Interior;2;5;8;3
Seropédica;2017;4;Baixada Fluminense;17;6;2;27
Silva Jardim;2017;4;Interior;1;0;3;0
Sumidouro;2017;4;Interior;0;1;1;0
Tanguá;2017;4;Interior;4;0;2;5
Teresópolis;2017;4;Interior;2;13;27;9
Trajano de Moraes;2017;4;Interior;1;0;0;0
Três Rios;2017;4;Interior;0;4;23;3
Valença;2017;4;Interior;0;0;9;0
Varre-Sai;2017;4;Interior;0;0;0;0
Vassouras;2017;4;Interior;0;5;2;1
Volta Redonda;2017;4;Interior;2;12;39;3
Angra dos Reis;2017;5;Interior;4;19;37;15
Aperibé;2017;5;Interior;0;0;0;0
Araruama;2017;5;Interior;3;5;16;6
Areal;2017;5;Interior;1;1;0;0
Armação dos Búzios;2017;5;Interior;2;7;4;3
Arraial do Cabo;2017;5;Interior;0;0;6;2
Barra do Piraí;2017;5;Interior;0;3;25;2
Barra Mansa;2017;5;Interior;1;4;26;4
Belford Roxo;2017;5;Baixada Fluminense;141;23;23;97
Bom Jardim;2017;5;Interior;0;0;1;0
Bom Jesus do Itabapoana;2017;5;Interior;2;2;7;1
Cabo Frio;2017;5;Interior;13;11;24;9
Cachoeiras de Macacu;2017;5;Interior;1;2;6;1
Cambuci;2017;5;Interior;0;0;0;0
Carapebus;2017;5;Interior;2;0;0;0
Comendador Levy Gasparian;2017;5;Interior;0;0;1;0
Campos dos Goytacazes;2017;5;Interior;17;35;47;19
Cantagalo;2017;5;Interior;1;0;4;0
Cardoso Moreira;2017;5;Interior;0;0;0;1
Carmo;2017;5;Interior;0;0;0;1
Casimiro de Abreu;2017;5;Interior;2;0;3;1
Conceição de Macabu;2017;5;Interior;1;0;2;0
Cordeiro;2017;5;Interior;1;0;2;1
Duas Barras;2017;5;Interior;0;0;0;0
Duque de Caxias;2017;5;Baixada Fluminense;378;70;51;274
Engenheiro Paulo de Frontin;2017;5;Interior;0;1;3;1
Guapimirim;2017;5;Baixada Fluminense;7;3;3;2
Iguaba Grande;2017;5;Interior;3;3;2;0
Itaboraí;2017;5;Interior;83;22;28;48
Itaguaí;2017;5;Baixada Fluminense;48;9;7;45
Italva;2017;5;Interior;0;0;1;0
Itaocara;2017;5;Interior;1;2;2;1
Itaperuna;2017;5;Interior;0;4;9;2
Itatiaia;2017;5;Interior;3;1;5;2
Japeri;2017;5;Baixada Fluminense;7;3;7;7
Laje do Muriaé;2017;5;Interior;0;1;0;1
Macaé;2017;5;Interior;22;12;22;15
Macuco;2017;5;Interior;0;1;0;0
Magé;2017;5;Baixada Fluminense;31;13;16;19
Mangaratiba;2017;5;Interior;5;5;6;2
Maricá;2017;5;Grande Niterói;28;17;4;10
Mendes;2017;5;Interior;0;0;0;0
Mesquita;2017;5;Baixada Fluminense;64;12;19;66
Miguel Pereira;2017;5;Interior;0;5;0;1
Miracema;2017;5;Interior;0;0;5;0
Natividade;2017;5;Interior;0;0;0;2
Nilópolis;2017;5;Baixada Fluminense;164;26;3;51
Niterói;2017;5;Grande Niterói;150;68;43;152
Nova Friburgo;2017;5;Interior;0;12;25;6
Nova Iguaçu;2017;5;Baixada Fluminense;273;35;39;118
Paracambi;2017;5;Baixada Fluminense;3;4;1;1
Paraíba do Sul;2017;5;Interior;0;2;6;0
Paraty;2017;5;Interior;4;2;4;4
Paty do Alferes;2017;5;Interior;1;1;0;0
Petrópolis;2017;5;Interior;2;16;27;13
Pinheiral;2017;5;Interior;0;0;2;0
Piraí;2017;5;Interior;0;0;4;0
Porciúncula;2017;5;Interior;0;3;1;0
Porto Real;2017;5;Interior;0;0;7;1
Quatis;2017;5;Interior;0;0;1;0
Queimados;2017;5;Baixada Fluminense;38;11;8;20
Quissamã;2017;5;Interior;2;0;3;0
Resende;2017;5;Interior;1;9;27;4
Rio Bonito;2017;5;Interior;4;9;8;10
Rio Claro;2017;5;Interior;1;2;2;0
Rio das Flores;2017;5;Interior;0;0;0;0
Rio das Ostras;2017;5;Interior;10;10;9;7
Rio de Janeiro;2017;5;Capital;2228;587;190;1826
Santa Maria Madalena;2017;5;Interior;0;2;0;0
Santo Antônio de Pádua;2017;5;Interior;1;1;3;0
São Francisco de Itabapoana;2017;5;Interior;2;2;2;3
São Fidélis;2017;5;Interior;0;2;2;2
São Gonçalo;2017;5;Grande Niterói;517;90;95;376
São João da Barra;2017;5;Interior;1;3;2;3
São João de Meriti;2017;5;Baixada Fluminense;284;37;38;209
São José de Ubá;2017;5;Interior;0;0;0;0
São José do Vale do Rio Preto;2017;5;Interior;0;1;3;1
São Pedro da Aldeia;2017;5;Interior;7;5;10;7
São Sebastião do Alto;2017;5;Interior;0;0;0;0
Sapucaia;2017;5;Interior;1;2;2;2
Saquarema;2017;5;Interior;4;14;5;9
Seropédica;2017;5;Baixada Fluminense;13;11;5;10
Silva Jardim;2017;5;Interior;3;0;0;0
Sumidouro;2017;5;Interior;0;1;1;0
Tanguá;2017;5;Interior;6;1;3;4
Teresópolis;2017;5;Interior;1;7;34;5
Trajano de Moraes;2017;5;Interior;0;0;0;1
Três Rios;2017;5;Interior;1;6;13;3
Valença;2017;5;Interior;1;1;17;1
Varre-Sai;2017;5;Interior;0;2;1;1
Vassouras;2017;5;Interior;0;4;7;2
Volta Redonda;2017;5;Interior;1;17;37;9
Angra dos Reis;2017;6;Interior;15;9;20;16
Aperibé;2017;6;Interior;0;0;1;0
Araruama;2017;6;Interior;2;8;12;10
Areal;2017;6;Interior;0;0;0;0
Armação dos Búzios;2017;6;Interior;3;0;4;0
Arraial do Cabo;2017;6;Interior;0;4;9;1
Barra do Piraí;2017;6;Interior;0;1;17;5
Barra Mansa;2017;6;Interior;1;8;27;7
Belford Roxo;2017;6;Baixada Fluminense;132;34;26;107
Bom Jardim;2017;6;Interior;0;0;2;1
Bom Jesus do Itabapoana;2017;6;Interior;1;0;5;0
Cabo Frio;2017;6;Interior;9;22;33;15
Cachoeiras de Macacu;2017;6;Interior;3;2;2;1
Cambuci;2017;6;Interior;0;1;1;1
Carapebus;2017;6;Interior;1;0;0;0
Comendador Levy Gasparian;2017;6;Interior;0;0;0;0
Campos dos Goytacazes;2017;6;Interior;19;30;50;31
Cantagalo;2017;6;Interior;0;1;2;0
Cardoso Moreira;2017;6;Interior;0;0;4;1
Carmo;2017;6;Interior;1;0;1;1
Casimiro de Abreu;2017;6;Interior;2;2;3;1
Conceição de Macabu;2017;6;Interior;1;1;1;0
Cordeiro;2017;6;Interior;0;0;4;1
Duas Barras;2017;6;Interior;0;0;3;0
Duque de Caxias;2017;6;Baixada Fluminense;432;87;53;291
Engenheiro Paulo de Frontin;2017;6;Interior;0;1;6;0
Guapimirim;2017;6;Baixada Fluminense;5;2;6;5
Iguaba Grande;2017;6;Interior;2;2;0;1
Itaboraí;2017;6;Interior;84;17;34;65
Itaguaí;2017;6;Baixada Fluminense;40;19;7;36
Italva;2017;6;Interior;0;0;2;0
Itaocara;2017;6;Interior;0;0;0;0
Itaperuna;2017;6;Interior;1;7;7;2
Itatiaia;2017;6;Interior;0;5;2;0
Japeri;2017;6;Baixada Fluminense;6;1;3;15
Laje do Muriaé;2017;6;Interior;0;0;1;0
Macaé;2017;6;Interior;20;8;13;10
Macuco;2017;6;Interior;0;1;0;0
Magé;2017;6;Baixada Fluminense;28;23;10;28
Mangaratiba;2017;6;Interior;6;6;7;3
Maricá;2017;6;Grande Niterói;19;13;8;17
Mendes;2017;6;Interior;0;2;1;0
Mesquita;2017;6;Baixada Fluminense;68;21;25;33
Miguel Pereira;2017;6;Interior;0;2;2;1
Miracema;2017;6;Interior;0;1;4;1
Natividade;2017;6;Interior;0;1;0;0
Nilópolis;2017;6;Baixada Fluminense;135;7;2;21
Niterói;2017;6;Grande Niterói;170;79;30;100
Nova Friburgo;2017;6;Interior;0;9;26;10
Nova Iguaçu;2017;6;Baixada Fluminense;264;60;44;94
Paracambi;2017;6;Baixada Fluminense;3;4;4;0
Paraíba do Sul;2017;6;Interior;1;1;11;0
Paraty;2017;6;Interior;4;4;3;4
Paty do Alferes;2017;6;Interior;1;0;2;0
Petrópolis;2017;6;Interior;3;25;25;13
Pinheiral;2017;6;Interior;0;1;1;0
Piraí;2017;6;Interior;0;1;8;1
Porciúncula;2017;6;Interior;1;0;2;1
Porto Real;2017;6;Interior;1;0;2;1
Quatis;2017;6;Interior;0;0;4;0
Queimados;2017;6;Baixada Fluminense;20;7;5;21
Quissamã;2017;6;Interior;4;0;3;1
Resende;2017;6;Interior;2;8;13;8
Rio Bonito;2017;6;Interior;11;13;2;12
Rio Claro;2017;6;Interior;0;1;4;1
Rio das Flores;2017;6;Interior;0;0;0;0
Rio das Ostras;2017;6;Interior;14;14;20;5
Rio de Janeiro;2017;6;Capital;2289;591;241;1725
Santa Maria Madalena;2017;6;Interior;0;1;0;0
Santo Antônio de Pádua;2017;6;Interior;0;2;5;1
São Francisco de Itabapoana;2017;6;Interior;2;0;3;0
São Fidélis;2017;6;Interior;0;3;0;2
São Gonçalo;2017;6;Grande Niterói;423;114;57;326
São João da Barra;2017;6;Interior;2;4;0;2
São João de Meriti;2017;6;Baixada Fluminense;272;31;26;123
São José de Ubá;2017;6;Interior;0;0;0;0
São José do Vale do Rio Preto;2017;6;Interior;0;2;2;2
São Pedro da Aldeia;2017;6;Interior;3;4;11;2
São Sebastião do Alto;2017;6;Interior;0;0;0;0
Sapucaia;2017;6;Interior;1;2;3;1
Saquarema;2017;6;Interior;5;5;3;5
Seropédica;2017;6;Baixada Fluminense;9;5;4;11
Silva Jardim;2017;6;Interior;0;1;2;0
Sumidouro;2017;6;Interior;0;0;0;1
Tanguá;2017;6;Interior;6;3;1;3
Teresópolis;2017;6;Interior;0;12;33;7
Trajano de Moraes;2017;6;Interior;0;0;0;0
Três Rios;2017;6;Interior;0;3;8;4
Valença;2017;6;Interior;0;0;12;1
Varre-Sai;2017;6;Interior;0;1;0;0
Vassouras;2017;6;Interior;0;2;2;1
Volta Redonda;2017;6;Interior;4;21;46;10
Angra dos Reis;2017;7;Interior;12;9;21;11
Aperibé;2017;7;Interior;0;0;0;0
Araruama;2017;7;Interior;9;9;26;11
Areal;2017;7;Interior;0;0;0;0
Armação dos Búzios;2017;7;Interior;3;2;9;0
Arraial do Cabo;2017;7;Interior;0;0;2;1
Barra do Piraí;2017;7;Interior;1;0;12;1
Barra Mansa;2017;7;Interior;3;4;28;5
Belford Roxo;2017;7;Baixada Fluminense;176;41;13;92
Bom Jardim;2017;7;Interior;0;1;4;2
Bom Jesus do Itabapoana;2017;7;Interior;1;1;5;1
Cabo Frio;2017;7;Interior;15;16;31;11
Cachoeiras de Macacu;2017;7;Interior;1;2;3;2
Cambuci;2017;7;Interior;0;1;0;1
Carapebus;2017;7;Interior;0;0;3;0
Comendador Levy Gasparian;2017;7;Interior;0;0;0;0
Campos dos Goytacazes;2017;7;Interior;22;27;39;34
Cantagalo;2017;7;Interior;0;3;1;1
Cardoso Moreira;2017;7;Interior;0;3;1;0
Carmo;2017;7;Interior;1;0;2;0
Casimiro de Abreu;2017;7;Interior;1;2;2;5
Conceição de Macabu;2017;7;Interior;2;0;3;0
Cordeiro;2017;7;Interior;0;1;4;0
Duas Barras;2017;7;Interior;0;0;0;1
Duque de Caxias;2017;7;Baixada Fluminense;430;89;29;282
Engenheiro Paulo de Frontin;2017;7;Interior;0;0;5;0
Guapimirim;2017;7;Baixada Fluminense;7;1;2;6
Iguaba Grande;2017;7;Interior;1;0;1;1
Itaboraí;2017;7;Interior;90;13;36;64
Itaguaí;2017;7;Baixada Fluminense;39;8;7;33
Italva;2017;7;Interior;0;1;0;2
Itaocara;2017;7;Interior;0;1;1;0
Itaperuna;2017;7;Interior;3;3;20;5
